"Plant.ID","Treatment","Population","TOE","Roi.Mask","Fv.Fm","Fq.Fm","NPQ","qP","qN","qL","qI","phiNO","phiNPQ","npq.t","ChlIdx","AriIdx","NDVI","comp"
"Tray01A_Mimiulus_E1_1","100%","A",411,434.010989409326,0.76854422947404,0.112271016549606,1.2323892982311,0.203907714396296,0.668440174101237,0.121497417737617,1.21541900072454,0.383597502833791,0.504131346823018,3.59144460130681,1.29845166353559,0.462838845761308,0.672706767489531,"80%"
"Tray01A_Mimiulus_E1_1","100%","A",423,451.285761941754,0.780657865498579,0.117127468618752,1.24245222215089,0.204946691016357,0.67236308755392,0.113049198703769,1.22515281920407,0.376495137526494,0.506376118073207,3.32984327099515,1.28310744626825,0.499974251276088,0.677106055635451,"80%"
"Tray01A_Mimiulus_E1_1","100%","A",435,504.556791191442,0.784013383484344,0.123417596420491,1.31478641340255,0.217902962927129,0.687244346048504,0.121680078745864,1.28948194923859,0.360151426185732,0.516434561351712,3.40771812795735,1.27475390075585,0.512210066563457,0.679778170154656,"80%"
"Tray01A_Mimiulus_E1_1","100%","A",447,595.802487157319,0.788738030236119,0.118441356472892,1.2875945116597,0.206406255745401,0.683030374336656,0.113273010899674,1.2734884720648,0.366604832154958,0.514977820900924,3.30386045057921,1.30470289227866,0.543139903504816,0.686919626798703,"80%"
"Tray01A_Mimiulus_E1_1","100%","A",459,686.833942159945,0.784995107633096,0.125252789311279,1.29466347974414,0.214525723155304,0.676615420500595,0.11618714468149,1.28443975024105,0.364170526531073,0.510570035454645,3.08855548286413,1.30028364478552,0.534601900174716,0.686468945708788,"80%"
"Tray01A_Mimiulus_E1_1","100%","A",471,767.063909570751,0.786586272091584,0.121450643287621,1.25439990625325,0.205557346765734,0.667648982458113,0.108659989086756,1.24411678600701,0.373314819130886,0.504887205291045,2.98669694174835,1.31672130649868,0.566284259492608,0.693991176859729,"80%"
"Tray01A_Mimiulus_E1_1","100%","A",483,1025.73790163472,0.782562826713547,0.129695932913163,1.2232714995172,0.220443061556035,0.654009931009042,0.119332393036504,1.20921548774649,0.378999651497795,0.490736921675867,2.98640209832639,1.28938013309741,0.545540832801832,0.690371267278908,"80%"
"Tray01A_Mimiulus_E1_1","100%","A",495,1396.3232419453,0.769316938603623,0.157495437362538,1.12779709670141,0.274387189111735,0.628986765151419,0.161417939147153,1.1122783732351,0.382000174282577,0.460419422870548,3.03563495159882,1.30744652603578,0.557088570148259,0.68981015733574,"80%"
"Tray01A_Mimiulus_E1_1","100%","A",507,1488.35664674873,0.772177440404904,0.15779089597791,1.16678001252791,0.274365050349114,0.636277077201885,0.1593197848688,1.14906903578424,0.374625486456536,0.467289258956247,3.03190808741467,1.34857983372344,0.57507140034919,0.69619184970707,"80%"
"Tray01A_Mimiulus_E1_1","100%","A",519,1596.4337462051,0.784401983417404,0.13293211223174,1.07644273327289,0.22081571590363,0.613282350673545,0.114508051952429,1.06771801179948,0.406855402726908,0.459629702864702,2.65074082466652,1.35361328780485,0.629434142823883,0.702704333636097,"80%"
"Tray01A_Mimiulus_E1_1","100%","A",531,1708.66739780717,0.783102078458772,0.134354248282908,1.15161199437381,0.224371597833061,0.634350095934237,0.117375268850878,1.14157068391122,0.39099293040457,0.474536149853028,2.78150448577691,1.33960677192562,0.635732316070125,0.7036857361936,"80%"
"Tray01A_Mimiulus_E1_1","100%","A",543,1817.27086975445,0.781811166573555,0.124736421674417,1.13662423791284,0.208024683871317,0.628839236700364,0.107662101183231,1.12669412326828,0.401617741853151,0.473672401401425,2.75302102406308,1.35588713381807,0.657358718061061,0.706995830574886,"80%"
"Tray01A_Mimiulus_E1_1","100%","A",555,1849.40242552763,0.779971358708624,0.132378855787907,1.21370945923523,0.224339735929236,0.64661569282635,0.120521518947828,1.20017551840299,0.382533545218442,0.48509947176758,2.92040883322069,1.34553238358382,0.650542462209237,0.706815834585525,"80%"
"Tray01A_Mimiulus_E1_1","100%","A",567,1988.50253297566,0.781110861938465,0.123597835303342,1.15681924296605,0.207974538519082,0.635378290482257,0.1102014979356,1.14564453999764,0.39726098154747,0.479140851970085,2.85841588589844,1.35395902269947,0.657514241710077,0.70879888387016,"80%"
"Tray01A_Mimiulus_E1_1","100%","A",579,2008.95497858175,0.781222351298612,0.124197812580978,1.22968562299171,0.21175653505344,0.655005482513523,0.115160119517741,1.21470573108676,0.382633804051485,0.493167049562041,3.02621188582082,1.34698241200739,0.671946192778905,0.711877444974779,"80%"
