"Plant.ID","Treatment","Population","GR","R2"
"Tray04A_Mimiulus_C1_0.6","60%","D",7.92990555538396,0.908928565139798
"Tray04A_Mimiulus_D4_0.8","80%","B",8.71934635513421,0.950613832339479
"Tray04A_Mimiulus_A1_0.2","20%","B",2.93281434610518,0.931853834608958
"Tray04A_Mimiulus_B4_0.4","40%","D",3.8005160869863,0.75897196085467
"Tray04A_Mimiulus_C3_0.6","60%","B",11.9542070057031,0.996148723579477
"Tray04B_Mimiulus_C2_0.6","60%","C",6.18898429016537,0.887988945008265
"Tray04B_Mimiulus_A2_0.2","20%","E",6.54564650721556,0.866387795382013
"Tray04B_Mimiulus_B1_0.4","40%","C",7.89213769530675,0.982479041487518
"Tray04B_Mimiulus_C4_0.6","60%","E",3.73902788789749,0.895592413249747
"Tray04B_Mimiulus_A4_0.2","20%","C",11.7546424317704,0.974914751844674
"Tray04B_Mimiulus_D3_0.8","80%","C",10.789541006389,0.954831591728644
"Tray04B_Mimiulus_B3_0.4","40%","E",3.69483076564138,0.795876540661285
"Tray05A_Mimiulus_A3_0.2","20%","H",3.72758507612685,0.868075457342261
"Tray05A_Mimiulus_D2_0.8","80%","H",9.61240313180294,0.937842884121611
"Tray05A_Mimiulus_B2_0.4","40%","F",3.19111256871541,0.836568790963791
"Tray05A_Mimiulus_C1_0.6","60%","H",9.65661429208433,0.98136413422722
"Tray05A_Mimiulus_A1_0.2","20%","F",3.19415703080376,0.916317519648943
"Tray05A_Mimiulus_B4_0.4","40%","H",10.2821936076737,0.961845599557907
"Tray05A_Mimiulus_C3_0.6","60%","F",4.85490408184665,0.853672689053242
"Tray05B_Mimiulus_A2_0.2","20%","I",6.16483763901855,0.978177411767228
"Tray05B_Mimiulus_D1_0.8","80%","I",5.55445580339071,0.953911687020154
"Tray05B_Mimiulus_B1_0.4","40%","G",6.02082878539343,0.881038848573742
"Tray05B_Mimiulus_D3_0.8","80%","G",10.8277823810788,0.87388685457765
"Tray06A_Mimiulus_A3_0.2","20%","A",9.57699684202397,0.966181158996918
"Tray06A_Mimiulus_D2_0.8","80%","A",13.7578443621827,0.979802593196377
"Tray06A_Mimiulus_B2_0.4","40%","J",12.443123289631,0.969053966406015
"Tray06A_Mimiulus_C1_0.6","60%","A",12.6267125169734,0.969266860388527
"Tray06A_Mimiulus_D4_0.8","80%","J",7.90856263226036,0.875615208187126
"Tray06A_Mimiulus_A1_0.2","20%","J",10.4913802943312,0.994091899042152
"Tray06A_Mimiulus_B4_0.4","40%","A",12.2186221160304,0.918900716432715
"Tray06A_Mimiulus_C3_0.6","60%","J",7.30116995094963,0.9051847453647
"Tray06B_Mimiulus_C2_0.6","60%","K",10.733057103574,0.951438114050507
"Tray06B_Mimiulus_A2_0.2","20%","B",8.95186870378585,0.92091134817169
"Tray06B_Mimiulus_D1_0.8","80%","B",13.0519965350698,0.914335304601021
"Tray06B_Mimiulus_B1_0.4","40%","K",7.98293559529357,0.749685895990089
"Tray06B_Mimiulus_C4_0.6","60%","B",8.4508245947819,0.948003934292221
"Tray06B_Mimiulus_A4_0.2","20%","K",8.6252365295081,0.89972684837221
"Tray06B_Mimiulus_D3_0.8","80%","K",6.20106871079499,0.884367162323402
"Tray06B_Mimiulus_B3_0.4","40%","B",11.3792163799355,0.983291601535545
"Tray07A_Mimiulus_A3_0.2","20%","E",6.05539917715708,0.987490989769793
"Tray07A_Mimiulus_D2_0.8","80%","E",2.95114728595741,0.729297372392424
"Tray07A_Mimiulus_B2_0.4","40%","C",11.1558592491801,0.977466431717276
"Tray07A_Mimiulus_D4_0.8","80%","C",9.8977261583252,0.973712128487827
"Tray07A_Mimiulus_A1_0.2","20%","C",10.4022636206539,0.985570948325536
"Tray07A_Mimiulus_C3_0.6","60%","C",11.7883752512432,0.993112544654616
"Tray07B_Mimiulus_C2_0.6","60%","D",8.39998898290796,0.7759903297728
"Tray07B_Mimiulus_A2_0.2","20%","F",4.08092112560054,0.879629667339327
"Tray07B_Mimiulus_B1_0.4","40%","D",6.66671707273042,0.938533073706027
"Tray07B_Mimiulus_C4_0.6","60%","F",3.00741516947358,0.709161779384474
"Tray08A_Mimiulus_A3_0.2","20%","I",7.56792256071803,0.926897899009862
"Tray08A_Mimiulus_D2_0.8","80%","I",3.79822696657909,0.864287144609969
"Tray08A_Mimiulus_B2_0.4","40%","G",5.38495911996852,0.88944407781014
"Tray08A_Mimiulus_C1_0.6","60%","I",13.0017664746278,0.980261167837636
"Tray08A_Mimiulus_A1_0.2","20%","G",10.3026788732274,0.943994639487015
"Tray08A_Mimiulus_B4_0.4","40%","I",6.86025609099188,0.953611958160982
"Tray08A_Mimiulus_C3_0.6","60%","G",8.14068044684383,0.921686674188944
"Tray08B_Mimiulus_C4_0.6","60%","J",6.70539673120422,0.766119401470078
"Tray08B_Mimiulus_D1_0.8","80%","J",11.3053943195545,0.978146523159126
"Tray08B_Mimiulus_B1_0.4","40%","H",10.4466240154626,0.98197569928665
"Tray08B_Mimiulus_A4_0.2","20%","H",4.79217343983122,0.745905701713205
"Tray08B_Mimiulus_D3_0.8","80%","H",8.71932548656598,0.732413636309294
"Tray09A_Mimiulus_A3_0.2","20%","B",6.45828819226563,0.914693490770382
"Tray09A_Mimiulus_D2_0.8","80%","B",13.3506065141876,0.992236624390796
"Tray09A_Mimiulus_B2_0.4","40%","K",12.076546448322,0.855859931485027
"Tray09A_Mimiulus_C1_0.6","60%","B",9.67252768420088,0.985781512435292
"Tray09A_Mimiulus_D4_0.8","80%","K",7.29245055548254,0.83521448347167
"Tray09A_Mimiulus_A1_0.2","20%","K",9.6709514686161,0.987848299374503
"Tray09A_Mimiulus_B4_0.4","40%","B",14.2088062988179,0.965496228894303
"Tray09A_Mimiulus_C3_0.6","60%","K",6.91219984211166,0.864563219101358
"Tray09B_Mimiulus_C2_0.6","60%","A",10.7481559077695,0.789618636881195
"Tray09B_Mimiulus_D1_0.8","80%","C",8.76456210218521,0.974021182753466
"Tray09B_Mimiulus_B1_0.4","40%","A",13.1127157991768,0.975394719353196
"Tray09B_Mimiulus_C4_0.6","60%","C",8.02878556759567,0.904483646240499
"Tray09B_Mimiulus_A4_0.2","20%","A",9.09439921740667,0.921287297319231
"Tray09B_Mimiulus_D3_0.8","80%","A",10.9818724563368,0.853623924507962
"Tray09B_Mimiulus_B3_0.4","40%","C",6.14069353025598,0.751436300263892
"Tray10A_Mimiulus_A3_0.2","20%","F",7.43286858411627,0.910778491800684
"Tray10A_Mimiulus_B2_0.4","40%","D",11.1173512574816,0.878248427429489
"Tray10A_Mimiulus_C1_0.6","60%","F",9.75317080050961,0.951120314721758
"Tray10A_Mimiulus_A1_0.2","20%","D",8.7027599590689,0.972012216946233
"Tray10A_Mimiulus_B4_0.4","40%","F",6.31309837746251,0.737492944521059
"Tray10A_Mimiulus_C3_0.6","60%","D",7.41199174367076,0.762830847632573
"Tray11A_Mimiulus_A3_0.2","20%","F",6.93526046062074,0.790229869679832
"Tray11A_Mimiulus_D2_0.8","80%","F",7.8890195850169,0.750648522181097
"Tray11A_Mimiulus_B2_0.4","40%","D",12.623494009021,0.976609241182745
"Tray11A_Mimiulus_C1_0.6","60%","F",8.62134797152839,0.98370510038678
"Tray11A_Mimiulus_D4_0.8","80%","D",9.77250449261235,0.892872497669855
"Tray11A_Mimiulus_A1_0.2","20%","D",4.33702283780194,0.939121890697219
"Tray11A_Mimiulus_B4_0.4","40%","F",10.8049297676206,0.945973791558668
"Tray11A_Mimiulus_C3_0.6","60%","D",12.7527988418362,0.949212073246205
